feature,importance
image_emb_45,220430.5699671507
text_length,58006.83311367035
image_emb_402,44382.1501789093
image_emb_355,36956.00138819218
ipq,25370.651867985725
image_emb_92,18412.92836380005
image_emb_258,15709.415762871504
image_emb_329,15409.907561600208
image_emb_261,14531.483181715012
image_emb_219,14412.691239833832
text_emb_347,14362.131467282772
image_emb_62,13974.759352743626
text_emb_247,13311.990710616112
image_emb_317,13199.361134052277
text_emb_175,13187.244866669178
image_emb_176,11516.245050907135
image_emb_469,10846.18888169527
image_emb_391,9958.716044962406
text_emb_261,9951.83976072073
text_emb_97,9835.63967204094
text_emb_341,9082.891939282417
image_emb_340,9073.562960386276
text_emb_35,8676.727212309837
text_emb_328,8193.435952484608
image_emb_172,8021.353403508663
image_emb_75,7686.639431655407
image_emb_394,7405.320538520813
image_emb_381,7389.614897608757
text_emb_79,7328.259841173887
image_emb_211,7309.649293243885
image_emb_111,7303.819897592068
text_emb_272,7257.636976420879
text_emb_364,7208.444243609905
text_emb_346,6990.035809397697
image_emb_447,6919.734128713608
image_emb_357,6867.495666861534
text_emb_83,6817.626805484295
image_emb_276,6487.414949774742
image_emb_473,6419.114371359348
text_emb_305,6387.652829647064
text_emb_176,6270.050542593002
text_emb_319,6269.213900208473
text_emb_6,6138.39865231514
word_count,6057.7065353393555
text_emb_373,6034.924457073212
image_emb_324,5938.912704944611
text_emb_366,5887.858154118061
text_emb_14,5816.897395014763
image_emb_378,5811.2919510006905
text_emb_206,5811.19296836853
text_emb_181,5789.385305047035
text_emb_383,5751.842657804489
text_emb_183,5723.785367190838
image_emb_117,5675.902490615845
text_emb_262,5600.804976820946
text_emb_382,5442.816879570484
text_emb_36,5411.937332868576
image_emb_441,5368.788730353117
text_emb_213,5267.91939997673
text_emb_219,5247.619901835918
text_emb_23,5146.253315150738
image_emb_418,5140.725285053253
text_emb_189,5103.32458615303
image_emb_319,5034.76438087225
text_emb_21,5015.3101941645145
image_emb_506,4993.481017410755
image_emb_198,4991.635805130005
image_emb_6,4972.404033780098
text_emb_55,4960.688054263592
image_emb_375,4925.239770561457
text_emb_54,4885.9682493805885
text_emb_154,4845.903297305107
image_emb_160,4834.788957774639
image_emb_146,4808.732186317444
image_emb_179,4767.189398109913
text_emb_379,4762.2461767196655
text_emb_223,4745.623550772667
text_emb_147,4727.392074882984
image_emb_371,4725.334989845753
text_emb_196,4662.8864313960075
image_emb_247,4659.348903775215
text_emb_85,4633.528154969215
text_emb_246,4594.9878370165825
image_emb_365,4564.662082374096
text_emb_162,4556.378447830677
image_emb_450,4554.298178017139
text_emb_316,4498.299105226994
text_emb_70,4446.401699900627
image_emb_424,4426.16609364748
image_emb_118,4415.189927756786
text_emb_369,4389.156635522842
image_emb_452,4302.413172364235
image_emb_37,4297.891469955444
text_emb_22,4290.950183749199
text_emb_242,4238.751904845238
text_emb_249,4231.427311480045
text_emb_50,4222.179351389408
image_emb_290,4221.258977532387
text_emb_361,4208.911633908749
text_emb_231,4179.020469367504
text_emb_94,4162.623145699501
image_emb_460,4141.119838386774
text_emb_46,4079.482920527458
image_emb_56,4078.246994316578
text_emb_9,4044.6445875167847
text_emb_301,3997.6917349100113
image_emb_298,3977.769104242325
image_emb_80,3948.3713958859444
image_emb_259,3844.780915617943
image_emb_35,3832.087282180786
text_emb_256,3824.587097942829
text_emb_336,3802.6701600551605
text_emb_115,3795.403443455696
image_emb_306,3789.235888004303
text_emb_142,3781.698642075062
text_emb_136,3770.386436522007
text_emb_257,3766.109941124916
image_emb_18,3763.6538756489754
text_emb_170,3734.0060423612595
image_emb_389,3726.812876045704
text_emb_313,3680.3886736631393
image_emb_218,3666.5188027620316
text_emb_334,3661.168472468853
text_emb_337,3615.498781442642
text_emb_279,3607.780752122402
image_emb_265,3607.1993814110756
image_emb_495,3600.2004358768463
text_emb_53,3597.865828216076
image_emb_60,3597.263131082058
image_emb_217,3592.865585207939
image_emb_421,3592.840647548437
text_emb_363,3571.871466577053
text_emb_81,3558.858694255352
image_emb_401,3555.8934092521667
text_emb_355,3551.771387755871
image_emb_484,3548.2936727404594
text_emb_37,3528.4459756612778
image_emb_194,3528.1554210186005
text_emb_354,3522.04580527544
text_emb_0,3504.199121415615
image_emb_106,3498.916506409645
text_emb_306,3481.1444383859634
image_emb_432,3480.6570188999176
text_emb_240,3468.9777631759644
text_emb_254,3461.612827718258
text_emb_3,3453.3868851065636
